,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
76,Oldeuboi,Park Chan-wook,Action,8.4,567496,A,0.71,2003
77,Memento,Christopher Nolan,Mystery,8.4,1216623,UA,25.54,2000
78,American Beauty,Sam Mendes,Drama            ,8.4,1138694,UA,130.1,1999
79,Mononoke-hime,Hayao Miyazaki,Animation,8.4,386617,U,2.38,1997
80,Braveheart,Mel Gibson,Biography,8.4,1023870,A,75.6,1995
81,Idi i smotri,Elem Klimov,Drama,8.4,76744,A,79.78543749999999,1985
82,Aliens,James Cameron,Action,8.4,705269,U,85.16,1986
83,Amadeus,Milos Forman,Biography,8.4,396315,R,51.97,1984
84,Raiders of the Lost Ark,Steven Spielberg,Action,8.4,950795,A,248.16,1981
85,Das Boot,Wolfgang Petersen,Drama,8.4,248577,R,11.49,1981
86,The Shining,Stanley Kubrick,Drama,8.4,996113,A,44.02,1980
87,Tengoku to jigoku,Akira Kurosawa,Crime,8.4,43780, ,79.78543749999999,1963
88,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Comedy,8.4,484219,A,0.28,1964
89,Witness for the Prosecution,Billy Wilder,Crime,8.4,123403,U,8.18,1957
90,Paths of Glory,Stanley Kubrick,Drama,8.4,194958,A,79.78543749999999,1957
91,Sunset Blvd.,Billy Wilder,Drama,8.4,219290, ,79.78543749999999,1950
92,The Great Dictator,Charles Chaplin,Comedy,8.4,221652, ,0.29,1940
93,Hamilton,Thomas Kail,Biography,8.3,90175,12+,79.78543749999999,2020
94,Ratsasan,Ram Kumar,Crime,8.3,40562,UA,79.78543749999999,2018
95,Ayla: The Daughter of War,Can Ulkay,Biography,8.3,39339, ,79.78543749999999,2017
96,Dangal,Nitesh Tiwari,Action,8.3,185721,U,12.39,2016
97,Drishyam,Jeethu Joseph,Crime,8.3,40789,U,79.78543749999999,2013
98,Jagten,Thomas Vinterberg,Drama            ,8.3,323192,7,0.69,2012
99,Jodaeiye Nader az Simin,Asghar Farhadi,Drama            ,8.3,242939,7,7.1,2011
100,Incendies,Denis Villeneuve,Drama,8.3,174327,18,6.86,2010
101,Spider-Man: No Way Home,Jon Watts,Action,8.3,687592,UA,804.75,2021
102,Up,"Pete Docter, ",Animation,8.3,1024351,U,293.0,2009
103,Taare Zameen Par,"Aamir Khan, ",Drama,8.3,190392,U,1.22,2007
104,Toy Story 3,Lee Unkrich,Animation,8.3,822326,U,415.0,2010
105,Inglourious Basterds,Quentin Tarantino,Adventure,8.3,1410827,A,120.54,2009
106,Eternal Sunshine of the Spotless Mind,Michel Gondry,Drama,8.3,989498,UA,34.4,2004
107,Le fabuleux destin d'Amélie Poulain,Jean-Pierre Jeunet,Comedy,8.3,747914,U,33.23,2001
108,Snatch,Guy Ritchie,Comedy,8.3,842825,UA,30.33,2000
109,Requiem for a Dream,Darren Aronofsky,Drama            ,8.3,828084,A,3.64,2000
110,Good Will Hunting,Gus Van Sant,Drama,8.3,947151,U,138.43,1997
111,Toy Story,John Lasseter,Animation,8.3,974903,U,191.8,1995
112,Heat,Michael Mann,Action,8.3,641123,A,67.44,1995
113,Reservoir Dogs,Quentin Tarantino,Crime,8.3,999133,15+,2.83,1992
114,Full Metal Jacket,Stanley Kubrick,Drama,8.3,730622,UA,46.36,1987
115,Once Upon a Time in America,Sergio Leone,Crime,8.3,346428,A,5.32,1984
116,Scarface,Brian De Palma,Crime,8.3,820309,A,45.6,1983
117,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Action,8.3,1034080,U,309.13,1983
118,The Sting,George Roy Hill,Comedy,8.3,259225,U,159.6,1973
119,A Clockwork Orange,Stanley Kubrick,Crime,8.3,816379,A,6.21,1971
120,2001: A Space Odyssey,Stanley Kubrick,Adventure,8.3,657376,U,56.95,1968
121,To Kill a Mockingbird,Robert Mulligan,Crime,8.3,313689,U,79.78543749999999,1962
122,Lawrence of Arabia,David Lean,Adventure,8.3,290270,U,44.82,1962
123,Judgment at Nuremberg,Stanley Kramer,Drama,8.3,76951,A,79.78543749999999,1961
124,The Apartment,Billy Wilder,Comedy,8.3,179632,U,18.6,1960
125,North by Northwest,Alfred Hitchcock,Action,8.3,323967,U,13.28,1959
126,Vertigo,Alfred Hitchcock,Mystery,8.3,397238,A,3.2,1958
127,Pather Panchali,Satyajit Ray,Drama            ,8.3,32247,U,0.54,1955
128,Singin' in the Rain,"Stanley Donen, ",Comedy,8.3,239332,G,8.82,1952
129,Ikiru,Akira Kurosawa,Drama            ,8.3,77461,U,0.06,1952
130,Ladri di biciclette,Vittorio De Sica,Drama            ,8.3,161873,U,0.33,1948
131,Double Indemnity,Billy Wilder,Crime,8.3,155596, ,5.72,1944
132,Citizen Kane,Orson Welles,Drama,8.3,437226,UA,1.59,1941
133,M - Eine Stadt sucht einen Mörder,Fritz Lang,Crime,8.3,156368, ,0.03,1931
134,Metropolis,Fritz Lang,Drama,8.3,172607, ,1.24,1927
135,The Kid,Charles Chaplin,Comedy,8.3,125331, ,5.45,1921
136,Chhichhore,Nitesh Tiwari,Comedy,8.2,51333,UA,0.9,2019
137,1917,Sam Mendes,Action,8.2,562607,R,159.23,2019
138,Uri: The Surgical Strike,Aditya Dhar,Action,8.2,60057,UA,4.19,2019
139,Tumbbad,"Rahi Anil Barve, ",Drama,8.2,43080,A,79.78543749999999,2018
140,Andhadhun,Sriram Raghavan,Comedy,8.2,90539,UA,1.37,2018
141,K.G.F: Chapter 1,Prashanth Neel,Action,8.2,79078,UA,79.78543749999999,2018
142,Green Book,Peter Farrelly,Biography,8.2,472509,UA,85.08,2018
143,Everything Everywhere All at Once,"Dan Kwan, ",Action,8.2,158115,R,79.78543749999999,2022
144,Vikram Vedha,"Gayatri, ",Action,8.2,38597,UA,79.78543749999999,2017
145,Baahubali 2: The Conclusion,S.S. Rajamouli,Action,8.2,95277,UA,20.19,2017
146,Drishyam,Nishikant Kamat,Crime,8.2,80488,UA,0.74,2015
147,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,Biography,8.2,67298,U,1.63,2013
148,Inside Out,"Pete Docter, ",Animation,8.2,696871,U,356.46,2015
149,Gangs of Wasseypur,Anurag Kashyap,Action,8.2,94523,A,79.78543749999999,2012
150,Paan Singh Tomar,Tigmanshu Dhulia,Action,8.2,36143,UA,0.04,2012
151,El secreto de sus ojos,Juan José Campanella,Drama,8.2,207794,R,6.39,2009
152,Warrior,Gavin O'Connor,Action,8.2,466956,UA,13.66,2011
153,Shutter Island,Martin Scorsese,Mystery,8.2,1274327,A,128.01,2010
154,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,Animation,8.2,54393,UA,47.7,2020
155,Miracle in Cell No. 7,Mehmet Ada Öztekin,Drama            ,8.2,47787, ,79.78543749999999,2019
156,Article 15,Anubhav Sinha,Crime,8.2,33148,UA,79.78543749999999,2019
157,The Father,Florian Zeller,Drama,8.2,141688,UA,79.78543749999999,2020
158,The Wolf of Wall Street,Martin Scorsese,Biography,8.2,1361532,A,116.9,2013
159,No Country for Old Men,"Ethan Coen, ",Crime,8.2,951341,18,74.28,2007
160,Babam ve Oglum,Cagan Irmak,Drama,8.2,86128, ,79.78543749999999,2005
161,There Will Be Blood,Paul Thomas Anderson,Drama            ,8.2,575945,A,40.22,2007
162,Pan's Labyrinth,Guillermo del Toro,Drama,8.2,660604,UA,37.63,2006
163,V for Vendetta,James McTeigue,Action,8.2,1106286,UA,70.51,2006
164,Batman Begins,Christopher Nolan,Action,8.2,1440938,UA,206.85,2005
165,Der Untergang,Oliver Hirschbiegel,Biography,8.2,352391,R,5.51,2004
166,Hauru no ugoku shiro,Hayao Miyazaki,Animation,8.2,385016,U,4.71,2004
