,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
330,La Grande Illusion,Jean Renoir,Drama,8.1,36536, ,0.17,1937
331,It Happened One Night,Frank Capra,Comedy,8.1,103109, ,4.36,1934
332,All Quiet on the Western Front,Lewis Milestone,Drama,8.1,61202,U,3.27,1930
333,The Circus,Charles Chaplin,Comedy,8.1,33583, ,79.78543749999999,1928
334,Sunrise: A Song of Two Humans,F.W. Murnau,Drama,8.1,50844, ,0.54,1927
335,"Quo vadis, Aida?",Jasmila Zbanic,Drama,8.0,32640, ,79.78543749999999,2020
336,RRR (Rise Roar Revolt),S.S. Rajamouli,Action,8.0,87829,UA,79.78543749999999,2022
337,Badhaai ho,Amit Ravindernath Sharma,Comedy,8.0,34027,UA,79.78543749999999,2018
338,WolfWalkers,"Tomm Moore, ",Animation,8.0,31238,UA,79.78543749999999,2020
339,Contratiempo,Oriol Paulo,Crime,8.0,172947,16,79.78543749999999,2016
340,La La Land,Damien Chazelle,Comedy,8.0,572350,A,151.1,2016
341,Lion,Garth Davis,Biography,8.0,234139,U,51.74,2016
342,The Martian,Ridley Scott,Adventure,8.0,836615,UA,228.43,2015
343,Mommy,Xavier Dolan,Drama            ,8.0,56552,R,3.49,2014
344,Soul,"Pete Docter, ",Animation,8.0,316105,U,79.78543749999999,2020
345,Zootopia,"Byron Howard, ",Animation,8.0,488053,U,341.27,2016
346,Kis Uykusu,Nuri Bilge Ceylan,Drama            ,8.0,51429, ,0.17,2014
347,Bãhubali: The Beginning,S.S. Rajamouli,Action,8.0,120159,UA,6.74,2015
348,Kaguya-hime no monogatari,Isao Takahata,Animation,8.0,45963,U,1.51,2013
349,Special Chabbis,Neeraj Pandey,Crime,8.0,55949,UA,1.08,2013
350,The Imitation Game,Morten Tyldum,Biography,8.0,756387,UA,91.13,2014
351,Guardians of the Galaxy,James Gunn,Action,8.0,1153402,UA,333.18,2014
352,Song of the Sea,Tomm Moore,Animation,8.0,57888,PG,0.86,2014
353,Blade Runner 2049,Denis Villeneuve,Action,8.0,549944,UA,92.05,2017
354,Her,Spike Jonze,Drama,8.0,600140,A,25.57,2013
355,The Revenant,Alejandro G. Iñárritu,Action,8.0,786596,A,183.64,2015
356,The Perks of Being a Wallflower,Stephen Chbosky,Drama,8.0,503160,UA,17.74,2012
357,Tropa de Elite 2: O Inimigo Agora é Outro,José Padilha,Action,8.0,82871, ,0.1,2010
358,The King's Speech,Tom Hooper,Biography,8.0,674492,U,138.8,2010
359,Deadpool,Tim Miller,Action,8.0,1009865,R,363.07,2016
360,Zack Snyder's Justice League,Zack Snyder,Action,8.0,384238,18,79.78543749999999,2021
361,Ip Man,Wilson Yip,Action,8.0,222596,R,79.78543749999999,2008
362,Dune: Part One,Denis Villeneuve,Action,8.0,593080,UA,108.33,2021
363,Okuribito,Yôjirô Takita,Drama,8.0,51961,PG-13,1.5,2008
364,CODA,Sian Heder,Comedy,8.0,118364,A,79.78543749999999,2021
365,Slumdog Millionaire,"Danny Boyle, ",Crime,8.0,837717,UA,141.32,2008
366,Black Swan,Darren Aronofsky,Drama,8.0,753264,A,106.95,2010
367,Tropa de Elite,José Padilha,Action,8.0,103549,R,0.01,2007
368,The Avengers,Joss Whedon,Action,8.0,1367434,UA,623.28,2012
369,Persepolis,"Vincent Paronnaud, ",Animation,8.0,94266,PG-13,4.45,2007
370,Lage Raho Munna Bhai,Rajkumar Hirani,Comedy,8.0,46794,U,2.22,2006
371,The Pursuit of Happyness,Gabriele Muccino,Biography,8.0,501568,U,163.57,2006
372,Blood Diamond,Edward Zwick,Adventure,8.0,541630,A,57.37,2006
373,The Bourne Ultimatum,Paul Greengrass,Action,8.0,630362,UA,227.47,2007
374,Dare mo shiranai,Hirokazu Koreeda,Drama            ,8.0,27850,PG-13,0.68,2004
375,Sin City,"Frank Miller, ",Crime,8.0,763527,A,74.1,2005
376,Le scaphandre et le papillon,Julian Schnabel,Biography,8.0,107458,PG-13,5.99,2007
377,Taegukgi hwinalrimyeo,Je-kyu Kang,Action,8.0,39664,R,1.11,2004
378,G.O.R.A.,Ömer Faruk Sorak,Adventure,8.0,62471,18,79.78543749999999,2004
379,Casino Royale,Martin Campbell,Action,8.0,649755,UA,167.45,2006
380,Kill Bill: Vol. 2,Quentin Tarantino,Action,8.0,743519,A,66.21,2004
381,Bom yeoreum gaeul gyeoul geurigo bom,Kim Ki-duk,Drama,8.0,82572,R,2.38,2003
382,Mar adentro,Alejandro Amenábar,Biography,8.0,81557,U,2.09,2004
383,Cinderella Man,Ron Howard,Biography,8.0,186721,UA,61.65,2005
384,Mou gaan dou,"Andrew Lau, ",Action,8.0,124163,UA,0.17,2002
385,Big Fish,Tim Burton,Adventure,8.0,438091,U,66.26,2003
386,The Incredibles,Brad Bird,Animation,8.0,720694,U,261.44,2004
387,Yeopgijeogin geunyeo,Jae-young Kwak,Comedy,8.0,48029, ,79.78543749999999,2001
388,Dogville,Lars von Trier,Crime,8.0,147981,7,1.53,2003
389,Vizontele,"Yilmaz Erdogan, ",Comedy,8.0,36579, ,79.78543749999999,2001
390,Donnie Darko,Richard Kelly,Drama,8.0,789702,UA,1.48,2001
391,Magnolia,Paul Thomas Anderson,Drama            ,8.0,310146,A,22.46,1999
392,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Hideaki Anno, ",Animation,8.0,53259,Not Rated,79.78543749999999,1997
393,The Straight Story,David Lynch,Biography,8.0,90008,U,6.2,1999
394,Pâfekuto burû,Satoshi Kon,Animation,8.0,73911,A,0.78,1997
395,Central do Brasil,Walter Salles,Drama            ,8.0,39517,R,5.6,1998
396,La leggenda del pianista sull'oceano,Giuseppe Tornatore,Drama,8.0,63966,Not Rated,0.26,1998
397,"Crna macka, beli macor",Emir Kusturica,Comedy,8.0,53595,R,0.35,1998
398,Sling Blade,Billy Bob Thornton,Drama            ,8.0,93627,R,24.48,1996
399,Secrets & Lies,Mike Leigh,Comedy,8.0,43180,U,13.42,1996
